id1	id2	count1	count2
GBC2975	GBC1012	103	1
GBC31089	GBC1012	65	1
GBC24572	GBC2190	32	1
GBC2975	GBC2950	103	1
GBC32755	GBC2950	66	1
GBC2975	GBC2970	103	3
GBC32815	GBC2970	175	3
GBC2975	GBC2972	103	1
GBC32826	GBC2972	6	1
GBC2975	GBC3078	103	1
GBC2975	GBC3581	103	1
GBC2975	GBC11086	103	4
GBC32828	GBC2975	13378	103
GBC2975	GBC58591	103	4
GBC2975	GBC83496	103	5
GBC2975	GBC1040164	103	1
GBC2997	GBC3103	1	1
GBC32955	GBC3078	2	1
GBC376735	GBC3103	21	1
GBC3103	GBC740146	1	1
GBC33473	GBC3581	9	1
GBC59975	GBC5014	111	1
GBC106533	GBC5014	10	1
GBC7739	GBC5381	2947	1
GBC7739	GBC7008	2947	3
GBC8286	GBC7008	26	3
GBC108552	GBC7158	51	1
GBC7739	GBC7447	2947	15
GBC7447	GBC7962	15	5
GBC7447	GBC8082	15	7
GBC7447	GBC286407	15	1
GBC7739	GBC7592	2947	18
GBC7592	GBC7882	18	4
GBC7739	GBC7644	2947	22
GBC7644	GBC7844	22	4
GBC7644	GBC7858	22	1
GBC7739	GBC7705	2947	10
GBC7705	GBC7769	10	1
GBC7716	GBC7724	1	1
GBC7739	GBC7716	2947	1
GBC7760	GBC7716	10	1
GBC7739	GBC7724	2947	1
GBC7760	GBC7724	10	1
GBC7726	GBC7729	1	1
GBC7739	GBC7726	2947	1
GBC7752	GBC7726	16	1
GBC7739	GBC7729	2947	1
GBC7752	GBC7729	16	1
GBC7729	GBC7823	1	1
GBC7739	GBC7730	2947	1
GBC7739	GBC7747	2947	2
GBC7739	GBC7752	2947	16
GBC7739	GBC7760	2947	10
GBC7739	GBC7769	2947	1
GBC7739	GBC7784	2947	1
GBC7739	GBC7826	2947	20
GBC7739	GBC7844	2947	4
GBC7739	GBC7858	2947	1
GBC7739	GBC7882	2947	4
GBC7739	GBC7962	2947	5
GBC7739	GBC8082	2947	7
GBC7739	GBC8286	2947	26
GBC7739	GBC21896	2947	1
GBC7739	GBC86321	2947	1
GBC7739	GBC286516	2947	2
GBC7739	GBC381317	2947	1
GBC7739	GBC743526	2947	12
GBC7739	GBC1043005	2947	3
GBC7752	GBC7831	16	2
GBC7760	GBC7833	10	1
GBC7826	GBC7823	20	1
GBC7831	GBC7823	2	1
GBC7826	GBC7831	20	2
GBC7826	GBC7833	20	1
GBC7844	GBC7858	4	1
GBC8082	GBC7962	7	5
GBC29526	GBC8050	2343	1
GBC8286	GBC1043348	26	1
GBC10460	GBC10491	6	1
GBC111787	GBC10460	392	6
GBC11086	GBC38861	4	3
GBC11536	GBC11522	10	2
GBC112844	GBC11522	20	2
GBC112912	GBC11536	1222	10
GBC11536	GBC205576	10	1
GBC384668	GBC11844	2	1
GBC12768	GBC14734	58	1
GBC14246	GBC14241	10	1
GBC115312	GBC14241	12	1
GBC14246	GBC14248	10	1
GBC115322	GBC14246	563	10
GBC14246	GBC207391	10	1
GBC14248	GBC14249	1	1
GBC14249	GBC115327	1	1
GBC67833	GBC14386	1024	2
GBC91412	GBC14386	8	2
GBC749524	GBC15436	1147	3
GBC15436	GBC1049730	3	1
GBC16829	GBC16556	505	5
