node	hub	dist	count
GBC1012	GBC1012	0	1
GBC2190	GBC24572	1	1
GBC2707	GBC2707	0	1
GBC2710	GBC2710	0	1
GBC2950	GBC2950	0	1
GBC2970	GBC2970	0	3
GBC2972	GBC2972	0	1
GBC2975	GBC32828	1	103
GBC2997	GBC2997	0	1
GBC3078	GBC3078	0	1
GBC3103	GBC376735	1	1
GBC3294	GBC3294	0	1
GBC3367	GBC3367	0	1
GBC3581	GBC3581	0	1
GBC4566	GBC4566	0	1
GBC5014	GBC5014	0	1
GBC5117	GBC5117	0	1
GBC5381	GBC7739	1	1
GBC6430	GBC6430	0	2
GBC6963	GBC6963	0	1
GBC7008	GBC7739	1	3
GBC7045	GBC7045	0	1
GBC7158	GBC108552	1	1
GBC7447	GBC7739	1	15
GBC7592	GBC7739	1	18
GBC7644	GBC7739	1	22
GBC7705	GBC7739	1	10
GBC7716	GBC7739	1	1
GBC7724	GBC7739	1	1
GBC7726	GBC7739	1	1
GBC7729	GBC7739	1	1
GBC7730	GBC7739	1	1
GBC7739	GBC7739	0	2947
GBC7747	GBC7739	1	2
GBC7752	GBC7739	1	16
GBC7760	GBC7739	1	10
GBC7769	GBC7739	1	1
GBC7784	GBC7739	1	1
GBC7823	GBC7831	1	1
GBC7826	GBC7739	1	20
GBC7831	GBC7831	0	2
GBC7833	GBC7833	0	1
GBC7844	GBC7739	1	4
GBC7858	GBC7739	1	1
GBC7882	GBC7739	1	4
GBC7962	GBC7739	1	5
GBC8050	GBC29526	1	1
GBC8082	GBC7739	1	7
GBC8286	GBC7739	1	26
GBC9081	GBC9081	0	1
GBC9334	GBC9334	0	1
GBC9656	GBC9656	0	1
GBC10405	GBC10405	0	1
GBC10460	GBC111787	1	6
GBC10491	GBC10491	0	1
GBC11086	GBC11086	0	4
GBC11522	GBC11522	0	2
GBC11536	GBC112912	1	10
GBC11697	GBC11697	0	1
GBC11836	GBC11836	0	1
GBC11844	GBC11844	0	1
GBC12093	GBC12093	0	1
