id	top_neigh_count	top2_neigh_count
GBC1012	103	65
GBC2950	103	66
GBC2970	175	103
GBC2972	103	6
GBC3078	103	2
GBC3103	21	1
GBC3581	103	9
GBC5014	111	10
GBC7739	26	22
GBC7752	2947	2
GBC7826	2947	2
GBC7831	20	16
GBC7833	20	10
GBC10460	392	1
GBC11086	103	3
GBC11522	20	10
GBC11536	1222	2
GBC14241	12	10
GBC14246	563	1
GBC14248	10	1
GBC14249	1	1
GBC16556	505	370
GBC16680	505	231
GBC16750	505	17
GBC16776	5	4
GBC16786	505	195
GBC16800	4	1
GBC16803	505	323
GBC16821	505	293
GBC16824	505	31
GBC16827	505	181
GBC16849	505	44
GBC16912	505	25
GBC24572	2	2
GBC24868	1	1
GBC29475	2343	1
GBC29500	15	5
GBC29526	34	15
GBC29552	4	1
GBC29618	34	2
GBC29623	2343	2
GBC29633	4	2
GBC29697	2343	1
GBC29699	3	1
GBC29987	15	3
GBC29996	2343	2
GBC31086	175	65
GBC31088	124	65
GBC31099	98	65
GBC32192	175	58
GBC32199	91	58
GBC32200	59	58
GBC32221	58	3
GBC32750	175	66
GBC32791	91	3
GBC32814	175	124
GBC32828	175	124
GBC32839	91	59
GBC32853	124	59
GBC32858	59	59
GBC32867	175	98
GBC32873	124	98
GBC32875	98	91
GBC32890	175	2
GBC32906	59	3
GBC32911	7	3
GBC33078	98	1
GBC34650	175	9
GBC35071	135	5
GBC37129	2	1
GBC42236	1	1
GBC43982	1	1
GBC43986	55	1
GBC46050	55	1
GBC46071	2	1
GBC46948	154	1
GBC47785	135	71
GBC47794	135	72
GBC47801	135	78
GBC47826	135	5
GBC47841	135	15
GBC52613	59	8
GBC54843	35	6
GBC59587	186	111
GBC59948	137	111
GBC59960	111	99
GBC59961	2	1
GBC61973	364	318
GBC67815	1024	1
GBC67816	7	5
GBC67826	1024	1
GBC67833	8	8
GBC68097	67	1
GBC69038	21	16
GBC69886	505	6
GBC70453	19	14
GBC70457	19	13
GBC70726	3	2
GBC73283	135	18
GBC75422	71	12
GBC93753	505	11
GBC96158	1	1
GBC102411	2343	9
GBC102438	2	1
GBC102440	9	2
GBC104086	370	5
GBC105623	1222	1
GBC105648	12	9
GBC106227	186	10
GBC107669	563	1
GBC108552	1	1
GBC109322	318	48
GBC109695	392	1
GBC111000	1	1
GBC111014	20	11
GBC111026	1222	1
GBC111097	21	18
GBC111320	2	1
GBC111427	374	18
GBC111696	392	1
GBC111701	10	1
GBC111787	10	6
GBC111812	392	1
GBC112912	20	14
GBC113201	392	1
GBC115312	563	1
GBC115322	12	10
GBC115327	1	1
GBC115399	563	1
GBC116211	2	2
GBC117922	370	231
GBC118048	370	195
GBC118070	370	323
GBC118093	3	3
GBC118094	370	293
GBC118107	370	181
GBC118134	370	44
GBC118360	323	231
GBC118384	293	231
GBC118390	231	31
GBC118396	231	181
GBC118402	231	13
GBC118406	231	17
GBC118412	624	231
GBC118449	231	10
GBC118594	195	17
GBC118600	624	17
GBC118619	323	6
GBC118641	19	6
GBC118686	323	195
GBC118706	293	195
GBC118737	624	195
GBC118763	323	293
GBC118796	624	323
GBC118824	34	2
GBC118831	293	31
GBC118838	293	181
GBC118843	293	13
GBC118867	181	12
GBC118869	624	505
GBC118875	13	1
GBC118877	19	13
GBC118880	13	12
GBC118888	181	17
GBC118902	624	293
GBC118915	624	181
GBC118920	624	19
GBC118936	181	44
GBC118951	34	10
GBC118956	624	10
GBC119003	624	30
GBC119056	19	1
GBC119103	195	10
GBC119111	323	10
GBC119133	10	2
GBC119260	195	7
GBC119285	231	25
GBC119319	195	25
GBC119321	323	25
GBC119340	25	19
GBC119350	44	25
GBC119641	374	370
GBC119953	374	34
GBC119981	374	19
GBC119983	374	13
GBC119998	624	374
GBC121108	25	6
GBC121330	1	1
GBC121562	354	1
GBC121567	6	1
GBC122175	41	25
GBC122180	1	1
GBC122258	25	5
GBC122268	25	1
GBC123091	195	27
GBC123638	374	27
GBC125102	12	6
GBC125118	1	1
GBC125166	181	12
GBC125187	624	12
GBC125232	12	10
GBC127412	370	194
GBC127642	323	194
GBC127652	194	39
GBC127671	194	31
GBC127695	624	194
GBC128145	374	194
GBC130003	25	1
GBC130637	194	27
GBC130906	17	11
GBC130994	22	17
GBC131010	17	17
GBC131033	1881	2
GBC131034	17	1
GBC131040	17	1
GBC132506	17	3
GBC133438	13	10
GBC133736	852	1
GBC133739	10	3
GBC135482	338	18
GBC136384	2	1
GBC139798	19	18
GBC142531	1	1
GBC143030	10	6
GBC143048	354	1
GBC144333	1	1
GBC145480	1	1
GBC147372	2	2
GBC147422	208	1
GBC153472	1038	1
GBC153874	318	5
GBC154096	186	3
GBC154500	186	137
GBC154525	186	99
GBC154557	186	97
GBC154592	186	6
GBC154971	10	4
GBC155102	13	2
GBC155131	99	39
GBC155172	186	137
GBC155177	60	39
GBC155188	4	3
GBC155353	60	4
GBC155448	104	6
GBC155449	1	1
GBC155469	104	60
GBC155480	104	97
GBC155580	51	6
GBC155605	51	3
GBC155668	104	51
GBC155850	137	11
GBC155858	99	11
GBC155867	11	9
GBC156327	51	11
GBC156515	1	1
GBC157248	12620	3
GBC157249	61	39
GBC157268	97	61
GBC157403	61	51
GBC157693	1	1
GBC157942	387	318
GBC158037	318	291
GBC158088	448	318
GBC158211	318	28
GBC158304	318	60
GBC158423	318	88
GBC161846	250	7
GBC164380	2	1
GBC165616	1	1
GBC165950	624	6
GBC166345	374	6
GBC169545	318	19
GBC169596	2	1
GBC172436	302	1
GBC172447	7	7
GBC172977	3	2
GBC174050	3	2
GBC174051	250	1
GBC174311	250	1
GBC174314	6	3
GBC174487	117	1
GBC174590	318	16
GBC174591	2	1
GBC176248	1	1
GBC176442	2	1
GBC177510	1	1
GBC177789	44	4
GBC177876	104	44
GBC178059	34	1
GBC178064	2	2
GBC178668	44	11
GBC179079	1	1
GBC180030	5	2
GBC180301	663	318
GBC181931	392	1
GBC184856	1	1
GBC185134	219	1
GBC187595	19	11
GBC187605	624	11
GBC187626	11	10
GBC188027	374	11
GBC189063	1	1
GBC189096	501	1
GBC189097	4	3
GBC189632	5	3
GBC189636	501	1
GBC189643	5	4
GBC189682	501	1
GBC189722	501	1
GBC189728	2	1
GBC190172	195	78
GBC190213	78	59
GBC190302	78	10
GBC191994	12	11
GBC192954	1	1
GBC195406	1	1
GBC198071	17	11
GBC199038	5	1
GBC199071	1	1
GBC199637	12	11
GBC200270	446	338
GBC200885	2	1
GBC205918	446	156
GBC205993	446	184
