id	num_neighbors	counts
GBC1012	2	1
GBC2190	1	1
GBC2707	0	1
GBC2710	0	1
GBC2950	2	1
GBC2970	2	3
GBC2972	2	1
GBC2975	11	103
GBC2997	1	1
GBC3078	2	1
GBC3103	3	1
GBC3294	0	1
GBC3367	0	1
GBC3581	2	1
GBC4566	0	1
GBC5014	2	1
GBC5117	0	1
GBC5381	1	1
GBC6430	0	2
GBC6963	0	1
GBC7008	2	3
GBC7045	0	1
GBC7158	1	1
GBC7447	4	15
GBC7592	2	18
GBC7644	3	22
GBC7705	2	10
GBC7716	3	1
GBC7724	3	1
GBC7726	3	1
GBC7729	4	1
GBC7730	1	1
GBC7739	29	2947
GBC7747	1	2
GBC7752	4	16
GBC7760	4	10
GBC7769	2	1
GBC7784	1	1
GBC7823	3	1
GBC7826	4	20
GBC7831	3	2
GBC7833	2	1
GBC7844	3	4
GBC7858	3	1
GBC7882	2	4
GBC7962	3	5
GBC8050	1	1
GBC8082	3	7
GBC8286	3	26
GBC9081	0	1
GBC9334	0	1
GBC9656	0	1
GBC10405	0	1
GBC10460	2	6
GBC10491	1	1
GBC11086	2	4
GBC11522	2	2
GBC11536	3	10
GBC11697	0	1
GBC11836	0	1
GBC11844	1	1
GBC12093	0	1
GBC12439	0	1
GBC12768	1	58
GBC14233	0	1
GBC14241	2	1
GBC14246	4	10
GBC14248	2	1
GBC14249	2	1
GBC14288	0	1
GBC14386	2	2
GBC14734	1	1
GBC15436	2	3
GBC15653	0	1
GBC16556	2	5
GBC16579	0	1
GBC16642	0	1
GBC16680	4	2
GBC16750	2	1
GBC16754	0	1
GBC16768	0	1
GBC16776	3	1
GBC16786	3	5
GBC16800	2	1
GBC16803	5	4
GBC16805	0	1
GBC16821	2	4
GBC16824	3	1
GBC16827	2	5
GBC16829	16	505
GBC16849	3	1
GBC16912	3	2
GBC17274	1	1
GBC17438	0	1
GBC17550	0	7
GBC17579	0	1
GBC17638	0	14
GBC18618	0	1
GBC18669	0	1
GBC18897	1	1
GBC19505	0	1
GBC20227	0	4
GBC20509	0	1
GBC20641	0	1
GBC20865	1	1
GBC21336	0	1
GBC21558	0	8
GBC21634	0	1
GBC21896	1	1
GBC21914	0	1
GBC21920	0	1
GBC22106	1	1
GBC22160	1	19
GBC22328	0	1
GBC22528	1	1
GBC22831	0	1
GBC22911	1	1
GBC24344	0	1
GBC24566	1	2
GBC24572	4	32
GBC24864	1	1
GBC24868	3	14
GBC25204	0	1
GBC25495	0	1
GBC25830	0	8
GBC25877	1	3
GBC25887	1	1
GBC25977	1	1
GBC26054	0	1
GBC26174	1	1
GBC26313	0	1
GBC26810	0	1
GBC26887	1	88
GBC26934	1	1
GBC27161	0	1
GBC27220	1	1
GBC27254	1	48
GBC27530	0	1
GBC28054	0	1
GBC28104	1	1
GBC28987	0	1
GBC29115	0	1
GBC29248	0	1
GBC29382	1	3
GBC29475	2	1
GBC29498	7	15
GBC29500	2	1
GBC29518	4	34
GBC29520	3	1
GBC29522	3	2
GBC29526	26	2343
GBC29529	5	5
GBC29530	5	1
GBC29531	3	1
GBC29532	0	1
GBC29534	3	2
GBC29537	3	3
GBC29543	3	1
GBC29547	3	2
GBC29550	6	4
GBC29552	2	1
GBC29558	0	1
GBC29585	1	1
GBC29591	1	1
GBC29618	3	1
GBC29623	6	2
GBC29633	2	2
GBC29662	4	1
GBC29688	3	1
GBC29697	4	3
GBC29699	2	1
GBC29987	3	2
GBC29994	0	1
GBC29996	3	3
GBC30004	1	1
GBC30010	1	1
GBC30049	0	1
GBC30291	1	1
GBC30499	0	1
GBC30635	0	4
GBC31016	2	13
GBC31086	3	1
GBC31088	2	2
GBC31089	7	65
GBC31099	2	1
GBC31238	0	1
GBC31493	1	1
GBC31496	1	15
GBC32086	1	1
GBC32192	2	1
GBC32197	8	58
GBC32199	2	3
GBC32200	2	2
GBC32221	2	1
GBC32380	0	1
GBC32491	1	3
GBC32492	0	1
GBC32714	0	1
GBC32738	0	1
GBC32750	3	1
GBC32755	6	66
GBC32770	3	1
GBC32782	3	4
GBC32784	3	2
GBC32789	5	3
GBC32791	2	2
GBC32798	2	2
GBC32803	2	1
GBC32814	2	2
GBC32815	12	175
GBC32821	3	16
GBC32824	3	11
GBC32825	3	14
GBC32826	4	6
GBC32827	8	124
GBC32828	46	13378
GBC32829	3	6
GBC32831	3	1
GBC32833	7	91
GBC32837	8	59
GBC32839	2	1
GBC32841	3	13
GBC32842	3	9
GBC32853	2	2
GBC32854	6	59
GBC32858	2	1
GBC32867	2	1
GBC32873	2	1
GBC32874	9	98
GBC32875	2	1
GBC32890	3	1
GBC32893	4	2
GBC32894	0	1
GBC32905	4	3
GBC32906	2	1
GBC32911	3	1
GBC32915	4	7
GBC32929	4	3
GBC32955	5	2
GBC32988	2	2
GBC33014	0	1
GBC33021	2	4
GBC33076	1	1
GBC33078	2	1
GBC33116	0	1
GBC33153	0	1
GBC33184	0	18
GBC33355	3	1
GBC33473	4	9
GBC33695	3	6
GBC33784	0	1
GBC34104	0	1
