node1	node2	hub1	hub2
GBC2975	GBC2950	GBC32828	GBC2950
GBC2975	GBC2970	GBC32828	GBC2970
GBC2975	GBC2972	GBC32828	GBC2972
GBC2975	GBC1012	GBC32828	GBC1012
GBC3078	GBC2975	GBC3078	GBC32828
GBC3103	GBC2997	GBC376735	GBC2997
GBC3581	GBC2975	GBC3581	GBC32828
GBC7823	GBC7729	GBC7831	GBC7739
GBC7826	GBC7823	GBC7739	GBC7831
GBC7831	GBC7752	GBC7831	GBC7739
GBC7831	GBC7826	GBC7831	GBC7739
GBC7833	GBC7760	GBC7833	GBC7739
GBC7833	GBC7826	GBC7833	GBC7739
GBC10491	GBC10460	GBC10491	GBC111787
GBC11086	GBC2975	GBC11086	GBC32828
GBC11536	GBC11522	GBC112912	GBC11522
GBC14246	GBC14241	GBC115322	GBC14241
GBC14248	GBC14246	GBC14248	GBC115322
GBC16803	GBC16776	GBC16803	GBC16786
GBC16824	GBC16800	GBC16824	GBC16803
GBC16829	GBC16750	GBC118869	GBC16750
GBC16829	GBC16786	GBC118869	GBC16786
GBC16829	GBC16803	GBC118869	GBC16803
GBC16829	GBC16821	GBC118869	GBC16821
GBC16829	GBC16824	GBC118869	GBC16824
GBC16829	GBC16827	GBC118869	GBC16827
GBC16829	GBC16556	GBC118869	GBC16556
GBC16829	GBC16680	GBC118869	GBC16680
GBC16849	GBC16829	GBC16803	GBC118869
GBC16912	GBC16829	GBC16680	GBC118869
GBC29475	GBC22106	GBC29526	GBC22106
GBC29498	GBC25977	GBC29526	GBC25977
GBC29500	GBC29498	GBC29500	GBC29526
GBC29529	GBC29500	GBC29526	GBC29500
GBC29552	GBC29530	GBC29552	GBC29526
GBC29552	GBC29550	GBC29552	GBC29526
GBC29585	GBC29498	GBC29585	GBC29526
GBC29591	GBC29529	GBC29591	GBC29526
GBC29618	GBC29518	GBC29618	GBC29526
GBC29623	GBC29618	GBC29526	GBC29618
GBC29633	GBC29550	GBC29633	GBC29526
GBC29633	GBC29623	GBC29633	GBC29526
GBC29699	GBC29697	GBC29699	GBC29526
GBC29699	GBC29530	GBC29699	GBC29526
GBC29987	GBC29498	GBC29987	GBC29526
GBC29996	GBC29987	GBC29526	GBC29987
GBC30010	GBC29996	GBC30010	GBC29526
GBC31089	GBC31086	GBC32828	GBC31086
GBC31089	GBC31088	GBC32828	GBC31088
GBC31089	GBC1012	GBC32828	GBC1012
GBC31099	GBC31089	GBC31099	GBC32828
GBC32197	GBC32192	GBC32828	GBC32192
GBC32197	GBC32086	GBC32828	GBC32086
GBC32199	GBC32197	GBC32199	GBC32828
GBC32200	GBC32197	GBC32200	GBC32828
GBC32221	GBC32197	GBC32221	GBC32828
GBC32755	GBC32750	GBC32828	GBC32750
GBC32755	GBC2950	GBC32828	GBC2950
GBC32791	GBC32789	GBC32791	GBC32828
GBC32815	GBC32750	GBC32828	GBC32750
GBC32815	GBC32814	GBC32828	GBC32814
GBC32815	GBC2970	GBC32828	GBC2970
GBC32815	GBC31086	GBC32828	GBC31086
GBC32815	GBC32192	GBC32828	GBC32192
GBC32826	GBC2972	GBC32828	GBC2972
GBC32827	GBC32814	GBC32828	GBC32814
GBC32827	GBC31088	GBC32828	GBC31088
GBC32833	GBC32791	GBC32828	GBC32791
GBC32833	GBC32199	GBC32828	GBC32199
GBC32837	GBC32200	GBC32828	GBC32200
GBC32839	GBC32833	GBC32839	GBC32828
GBC32839	GBC32837	GBC32839	GBC32828
GBC32853	GBC32827	GBC32853	GBC32828
GBC32854	GBC32853	GBC32828	GBC32853
GBC32858	GBC32837	GBC32858	GBC32828
GBC32858	GBC32854	GBC32858	GBC32828
GBC32867	GBC32815	GBC32867	GBC32828
GBC32873	GBC32827	GBC32873	GBC32828
GBC32874	GBC32867	GBC32828	GBC32867
GBC32874	GBC32873	GBC32828	GBC32873
GBC32874	GBC31099	GBC32828	GBC31099
GBC32875	GBC32833	GBC32875	GBC32828
GBC32875	GBC32874	GBC32875	GBC32828
GBC32890	GBC32815	GBC32750	GBC32828
GBC32893	GBC32890	GBC32828	GBC32750
GBC32906	GBC32837	GBC32906	GBC32828
GBC32906	GBC32905	GBC32906	GBC32828
GBC32911	GBC32789	GBC32911	GBC32828
GBC32915	GBC32911	GBC32828	GBC32911
GBC32929	GBC32221	GBC32828	GBC32221
GBC32955	GBC3078	GBC32828	GBC3078
GBC33076	GBC32854	GBC33076	GBC32828
GBC33078	GBC32874	GBC33078	GBC32828
GBC33473	GBC3581	GBC32828	GBC3581
GBC34650	GBC32815	GBC31086	GBC32828
GBC34652	GBC34650	GBC32828	GBC31086
GBC38861	GBC11086	GBC32828	GBC11086
GBC43986	GBC43982	GBC46071	GBC43982
GBC46050	GBC43982	GBC46071	GBC43982
GBC47362	GBC46948	GBC47362	GBC416924
GBC47814	GBC47785	GBC417992	GBC47785
GBC47814	GBC47794	GBC417992	GBC47794
GBC47814	GBC47801	GBC417992	GBC47801
GBC47814	GBC35071	GBC417992	GBC35071
GBC47826	GBC47814	GBC47785	GBC417992
GBC47841	GBC47814	GBC47841	GBC417992
GBC52613	GBC52610	GBC52613	GBC32828
GBC52613	GBC32837	GBC52613	GBC32828
GBC59975	GBC59948	GBC155172	GBC59948
GBC59975	GBC59960	GBC155172	GBC59960
GBC59975	GBC5014	GBC155172	GBC5014
GBC59975	GBC59587	GBC155172	GBC59587
GBC67816	GBC67815	GBC67816	GBC67833
GBC67826	GBC67767	GBC67833	GBC67767
GBC67837	GBC67816	GBC67833	GBC67816
GBC68099	GBC68097	GBC68099	GBC163914
GBC69045	GBC69038	GBC440770	GBC69038
GBC69047	GBC69045	GBC69047	GBC440770
GBC69886	GBC16829	GBC69886	GBC118869
GBC70463	GBC70453	GBC442722	GBC70453
GBC70463	GBC70457	GBC442722	GBC70457
GBC73283	GBC47814	GBC73283	GBC417992
GBC75430	GBC75422	GBC790021	GBC75422
GBC93753	GBC16829	GBC93757	GBC118869
GBC93753	GBC69886	GBC93757	GBC69886
GBC102438	GBC29618	GBC102440	GBC29618
GBC102440	GBC102411	GBC102440	GBC29526
GBC102440	GBC29623	GBC102440	GBC29526
GBC104183	GBC104086	GBC118869	GBC104086
GBC105648	GBC105623	GBC105648	GBC112912
GBC106533	GBC5014	GBC155172	GBC5014
GBC106533	GBC106227	GBC155172	GBC106227
GBC107670	GBC107669	GBC107670	GBC115322
GBC111026	GBC111014	GBC112912	GBC111014
GBC111097	GBC110817	GBC111097	GBC118869
GBC111320	GBC109695	GBC111320	GBC111787
GBC111427	GBC110817	GBC128145	GBC118869
GBC111701	GBC111696	GBC111701	GBC111787
GBC111812	GBC111701	GBC111787	GBC111701
GBC112844	GBC11522	GBC112912	GBC11522
GBC112844	GBC111014	GBC112912	GBC111014
GBC112999	GBC105648	GBC112912	GBC105648
GBC113201	GBC111320	GBC111787	GBC111320
GBC115312	GBC14241	GBC115322	GBC14241
GBC115327	GBC14249	GBC115327	GBC14248
GBC115399	GBC115398	GBC115322	GBC115398
GBC118107	GBC118093	GBC118107	GBC118094
GBC118109	GBC118048	GBC118869	GBC118048
GBC118109	GBC118070	GBC118869	GBC118070
GBC118109	GBC118094	GBC118869	GBC118094
GBC118109	GBC118107	GBC118869	GBC118107
GBC118109	GBC16556	GBC118869	GBC16556
GBC118109	GBC104086	GBC118869	GBC104086
GBC118109	GBC117922	GBC118869	GBC117922
GBC118134	GBC118109	GBC118070	GBC118869
GBC118398	GBC118360	GBC118869	GBC118360
GBC118398	GBC118384	GBC118869	GBC118384
GBC118398	GBC118390	GBC118869	GBC118390
GBC118398	GBC118396	GBC118869	GBC118396
GBC118398	GBC16680	GBC118869	GBC16680
GBC118398	GBC117922	GBC118869	GBC117922
GBC118402	GBC118398	GBC118396	GBC118869
GBC118406	GBC118398	GBC118384	GBC118869
GBC118412	GBC118398	GBC118412	GBC118869
GBC118449	GBC118398	GBC118449	GBC118869
GBC118598	GBC118594	GBC118869	GBC118594
GBC118598	GBC16750	GBC118869	GBC16750
GBC118600	GBC118598	GBC118600	GBC118869
GBC118639	GBC118619	GBC118869	GBC118619
GBC118641	GBC118639	GBC118641	GBC118869
GBC118686	GBC16776	GBC118686	GBC16786
GBC118720	GBC118594	GBC118869	GBC118594
GBC118720	GBC118686	GBC118869	GBC118686
GBC118720	GBC118706	GBC118869	GBC118706
GBC118720	GBC16786	GBC118869	GBC16786
GBC118720	GBC118048	GBC118869	GBC118048
GBC118737	GBC118720	GBC119003	GBC118869
GBC118779	GBC118619	GBC118869	GBC118619
GBC118779	GBC118686	GBC118869	GBC118686
GBC118779	GBC118763	GBC118869	GBC118763
GBC118779	GBC16803	GBC118869	GBC16803
GBC118779	GBC118070	GBC118869	GBC118070
GBC118779	GBC118360	GBC118869	GBC118360
GBC118796	GBC118779	GBC118796	GBC118869
GBC118824	GBC118813	GBC118824	GBC118869
GBC118838	GBC118093	GBC118838	GBC118094
GBC118839	GBC118706	GBC118869	GBC118706
GBC118839	GBC118763	GBC118869	GBC118763
GBC118839	GBC118831	GBC118869	GBC118831
GBC118839	GBC118838	GBC118869	GBC118838
GBC118839	GBC16821	GBC118869	GBC16821
GBC118839	GBC118094	GBC118869	GBC118094
GBC118839	GBC118384	GBC118869	GBC118384
GBC118843	GBC118839	GBC118838	GBC118869
GBC118855	GBC118831	GBC118869	GBC118831
GBC118855	GBC16824	GBC118869	GBC16824
GBC118855	GBC118390	GBC118869	GBC118390
GBC118865	GBC118838	GBC118869	GBC118838
GBC118865	GBC16827	GBC118869	GBC16827
GBC118865	GBC118107	GBC118869	GBC118107
GBC118865	GBC118396	GBC118869	GBC118396
GBC118867	GBC118865	GBC118867	GBC118869
GBC118871	GBC118867	GBC118869	GBC118867
GBC118873	GBC118641	GBC118869	GBC118641
GBC118874	GBC118843	GBC118869	GBC118838
GBC118874	GBC118402	GBC118869	GBC118396
GBC118875	GBC118870	GBC118875	GBC118869
GBC118875	GBC118874	GBC118875	GBC118869
GBC118877	GBC118873	GBC118875	GBC118869
GBC118877	GBC118874	GBC118875	GBC118869
GBC118880	GBC118871	GBC118867	GBC118869
GBC118880	GBC118878	GBC118867	GBC118869
GBC118888	GBC118865	GBC118838	GBC118869
GBC118890	GBC118888	GBC118869	GBC118838
GBC118890	GBC118406	GBC118869	GBC118384
GBC118897	GBC118824	GBC118869	GBC118824
GBC118902	GBC118839	GBC118902	GBC118869
GBC118915	GBC118865	GBC118915	GBC118869
GBC118917	GBC118600	GBC118869	GBC118600
GBC118917	GBC118737	GBC118869	GBC119003
GBC118917	GBC118796	GBC118869	GBC118796
GBC118917	GBC118902	GBC118869	GBC118902
GBC118917	GBC118915	GBC118869	GBC118915
GBC118917	GBC118412	GBC118869	GBC118412
GBC118920	GBC118873	GBC118920	GBC118869
GBC118920	GBC118917	GBC118920	GBC118869
GBC118936	GBC118865	GBC118936	GBC118869
GBC118937	GBC118936	GBC118869	GBC118936
GBC118937	GBC16849	GBC118869	GBC16803
GBC118937	GBC118134	GBC118869	GBC118070
GBC118951	GBC118813	GBC118951	GBC118869
GBC118955	GBC118951	GBC118869	GBC118951
GBC118956	GBC118917	GBC118796	GBC118869
GBC118956	GBC118951	GBC118796	GBC118951
GBC118956	GBC118955	GBC118796	GBC118869
GBC119003	GBC118917	GBC119003	GBC118869
GBC119003	GBC119001	GBC119003	GBC118869
GBC119056	GBC118873	GBC119056	GBC118869
GBC119056	GBC119053	GBC119056	GBC118869
GBC119103	GBC118720	GBC119103	GBC118869
GBC119111	GBC118779	GBC119111	GBC118869
GBC119124	GBC119103	GBC118869	GBC119103
GBC119124	GBC119111	GBC118869	GBC119111
GBC119124	GBC118449	GBC118869	GBC118449
GBC119133	GBC118897	GBC119133	GBC118869
GBC119133	GBC119124	GBC119133	GBC118869
GBC119218	GBC16912	GBC118869	GBC16680
GBC119249	GBC118360	GBC118869	GBC118360
GBC119249	GBC118384	GBC118869	GBC118384
GBC119249	GBC118390	GBC118869	GBC118390
GBC119249	GBC118396	GBC118869	GBC118396
GBC119249	GBC118402	GBC118869	GBC118396
GBC119249	GBC118406	GBC118869	GBC118384
GBC119249	GBC118412	GBC118869	GBC118412
GBC119249	GBC118449	GBC118869	GBC118449
GBC119249	GBC16680	GBC118869	GBC16680
GBC119249	GBC117922	GBC118869	GBC117922
GBC119260	GBC118720	GBC119260	GBC118869
GBC119262	GBC119260	GBC118869	GBC119260
GBC119285	GBC118398	GBC117922	GBC118869
GBC119285	GBC119249	GBC117922	GBC118869
GBC119319	GBC118720	GBC118048	GBC118869
GBC119321	GBC118779	GBC118070	GBC118869
GBC119337	GBC119319	GBC118869	GBC118048
GBC119337	GBC119321	GBC118869	GBC118070
GBC119337	GBC119285	GBC118869	GBC117922
GBC119340	GBC119337	GBC119340	GBC118869
GBC119340	GBC118873	GBC119340	GBC118869
GBC119350	GBC119321	GBC119350	GBC118070
GBC119350	GBC119337	GBC119350	GBC118869
GBC119350	GBC118134	GBC119350	GBC118070
GBC119350	GBC118937	GBC119350	GBC118869
GBC119479	GBC111097	GBC118869	GBC111097
GBC119641	GBC118109	GBC119641	GBC118869
GBC119953	GBC118813	GBC119998	GBC118869
GBC119978	GBC119953	GBC118869	GBC119998
GBC119978	GBC111427	GBC118869	GBC128145
GBC119978	GBC119641	GBC118869	GBC119641
GBC119981	GBC119978	GBC119981	GBC118869
GBC119981	GBC118873	GBC119981	GBC118869
GBC119983	GBC119978	GBC119983	GBC118869
GBC119983	GBC118878	GBC119983	GBC118869
GBC119998	GBC119978	GBC119998	GBC118869
GBC119998	GBC118917	GBC119998	GBC118869
GBC121108	GBC118639	GBC121108	GBC118869
GBC121139	GBC121108	GBC118869	GBC121108
GBC121564	GBC121562	GBC121564	GBC143030
GBC121567	GBC121562	GBC121567	GBC143030
GBC122254	GBC122175	GBC489643	GBC122175
GBC122258	GBC122254	GBC122258	GBC489643
GBC122268	GBC122254	GBC122268	GBC489643
GBC122268	GBC122180	GBC122268	GBC122175
GBC123091	GBC118720	GBC123091	GBC118869
GBC123104	GBC123091	GBC118869	GBC123091
GBC123638	GBC119978	GBC123638	GBC118869
GBC123638	GBC123104	GBC123638	GBC118869
GBC125102	GBC118639	GBC121108	GBC118869
GBC125118	GBC125102	GBC125118	GBC121108
GBC125166	GBC118865	GBC125166	GBC118869
GBC125168	GBC125102	GBC118869	GBC121108
GBC125168	GBC125166	GBC118869	GBC125166
GBC125187	GBC125168	GBC125187	GBC118869
GBC125187	GBC118917	GBC125187	GBC118869
GBC125232	GBC125168	GBC125118	GBC118869
GBC125232	GBC119124	GBC125118	GBC118869
GBC127412	GBC118109	GBC104086	GBC118869
GBC127642	GBC118779	GBC127642	GBC118869
GBC127652	GBC118802	GBC127695	GBC118869
GBC127671	GBC118855	GBC127671	GBC118869
GBC127679	GBC127642	GBC118869	GBC127642
